kodas;ROD_KOD;VLST_KODAS2;2012_3;2012_4;2013_1;2013_2;2013_3;2013_4;2014_1;2014_2;2014_3;2014_4;2015_1;2015_2;2015_3;2015_4;2016_1;2016_2;2016_3;2016_4;2017_1;2017_2;2017_3;2017_4;2018_1;2018_2;2018_3;2018_4
X00030;1043;BE;;;;;;;;;;1;3;;;;;;;;;;;;;;;
X00030;1043;CH;;;;;;;;;;;7;;;;;;;;;;;;;;;
X00030;1043;DE;;;;;;;;;;1;15;;;;;;;;;;;;;;;
X00030;1043;IM;;;;;;;;;;;7;;;;;;;;;;;;;;;
X00030;20;BE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;20;CH;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;20;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;20;IM;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00030;3030;BE;576;423;;;;;;;;;;;;;;;;;;;;;;;;
X00030;3030;CH;1098;805;;;;;;;;;;;;;;;;;;;;;;;;
X00030;3030;DE;2430;1784;;;;;;;;;;;;;;;;;;;;;;;;
X00030;3030;IM;1098;805;;;;;;;;;;;;;;;;;;;;;;;;
X00030;3043;LV;;;;;;;111;-22;;;;;;;;;;;;;;;;;;
X00030;3160;LV;;;;33600;33600;33600;;;;;;;;;;;;;;;;;;;;
X00030;3200;LV;;;33600;33600;33600;33600;;;;;;;;;;;;;;;;;;;;
X00030;3350;LV;;;186;188;191;196;;;;;;;;;;;;;;;;;;;;
X00031;10;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00031;1000;FI;;;10525;;;;;;;;;;;;;;;;;;;;;;;
X00031;1010;DE;;;10525;;;;;;;;;;;;;;;;;;;;;;;
X00031;1020;FI;;;10525;;;;;;;;;;;;;;;;;;;;;;;
X00031;1040;DE;;;-518;;;518;518;;;;-765;;;;;;;;;;;;;;;
X00031;1043;DE;;;;;;;518;;;;-765;;;;;;;;;;;;;;;
X00031;1270;DE;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;1270;LV;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;1273;DE;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;1273;LV;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;20;DE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00031;2270;DE;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;2270;LV;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;2273;DE;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;2273;LV;;;;;;;;;;;-1;;;;;;;;;;;;;;;
X00031;3030;FI;-295;249;;;;;;;;;;;;;;;;;;;;;;;;
X00032;1030;FR;;52;;;;;;;;;;;;;;;;;;;;;;;;
X00032;1050;FR;90;139;;;;;;;;;;;;;;;;;;;;;;;;
X00032;3030;FR;;52;;;;;;;;;;;;;;;;;;;;;;;;
X00032;3050;FR;211;211;;;;;;;;;;;;;;;;;;;;;;;;
X00033;1000;FR;;;-7;;;;-5;-5;-5;-5;;;;;;;;;;;;;;;;
X00033;1030;FR;-3;;2;;;;;;;-4;;;;;;;;;;;;;;;;
X00033;1040;FR;;;0;;;;;;;;;;;;;;;;;;;;;;;
X00033;1050;FR;-6;-6;-5;-5;-5;-5;-5;-5;-5;-9;;;;;;;;;;;;;;;;
X00033;3030;FR;-3;;;;;;;;;;;;;;;;;;;;;;;;;
X00034;10;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00034;1031;SE;;;1691;2960;2114;1691;;;;;;;;;;;;;;;;;;;;
X00034;1040;SE;;;0;;;;;;;7051;1081;;;;;;;;;;;;;;;
X00034;1043;SE;;;;;;;;;;7051;1081;;;;;;;;;;;;;;;
X00034;1160;SE;;;;82990;80098;80128;;;;;;;;;;;;;;;;;;;;
X00034;1170;SE;;;158;99;67;;;;;;;;;;;;;;;;;;;;;
X00034;1180;SE;;;;2990;38;2896;;;;;;;;;;;;;;;;;;;;
X00034;1200;SE;;;82990;80098;80128;77232;;;;;;;;;;;;;;;;;;;;
X00034;1210;SE;;;;;2896;2896;;;;;;;;;;;;;;;;;;;;
X00034;1220;SE;;;;2896;;;;;;;;;;;;;;;;;;;;;;
X00034;1250;SE;;;;2896;2896;2896;;;;;;;;;;;;;;;;;;;;
X00034;1350;SE;;;220;218;216;195;;;;;;;;;;;;;;;;;;;;
X00034;20;SE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00034;3030;SE;2815;321;;;;;;;;;;;;;;;;;;;;;;;;
X00035;10;HU;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00035;20;HU;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00036;1040;SE;;;;;;59;59;;;1;;;;;;;;;;;;;;;;
X00036;1043;SE;;;;;;;59;;;1;;;;;;;;;;;;;;;;
X00036;3030;SE;43;35;;;;;;;;;;;;;;;;;;;;;;;;
X00037;1000;US;;;;;;;87;;;;;;;;;;;;;;;;;;;
X00037;1020;US;;;70;74;63;67;;;;;;;;;;;;;;;;;;;;
X00037;1040;US;;;-3;;;;-87;;;;;;;;;;;;;;;;;;;
X00037;1043;US;;;;;;;-87;;;;;;;;;;;;;;;;;;;
X00037;3030;US;-9;6;;;;;;;;;;;;;;;;;;;;;;;;
X00038;1050;DE;12;12;;;;;;;;;;;;;;;;;;;;;;;;
X00038;1290;DE;;;27;27;27;27;27;27;13,5;;;;;;;;;;;;;;;;;
X00038;1310;DE;;;27;27;27;27;27;13,5;;;;;;;;;;;;;;;;;;
X00039;1050;DE;188;;;;;;;;;;;;;;;;;;;;;;;;;
X00040;1000;FI;;;72;;;;108;108;108;108;;;;;;;;;;;;;;;;
X00040;1030;FI;;;;;36;;;;;;;;;;;;;;;;;;;;;
X00040;1050;FI;72;72;72;72;108;108;108;108;108;108;;;;;;;;;;;;;;;;
X00041;10;RU;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00041;1041;RU;;;;;;;;;;;-1;-2;;;;;;;;;;;;;;
X00041;1043;RU;;;;;;;;;;-270;7;;;;;;;;;;;;;;;
X00041;20;RU;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00041;3030;RU;6;-3;;;;;;;;;;;;;;;;;;;;;;;;
X00042;1000;UA;;;63;;;;64;49;49;49;;;;;;;;;;;;;;;;
X00042;1030;UA;;-12;;;;1;-15;;;;;;;;;;;;;;;;;;;
X00042;1040;UA;;;;;0;;;;;;;;;;;;;;;;;;;;;
X00042;1050;UA;75;64;63;63;63;64;49;49;49;49;;;;;;;;;;;;;;;;
X00042;3030;UA;;-12;;;;;;;;;;;;;;;;;;;;;;;;
X00043;1000;RU;;;;;;;;;;3;;;;;;;;;;;;;;;;
X00043;1010;RU;;;;;;;;;;24;;;;;;;;;;;;;;;;
X00043;1030;RU;;;;;;;;;3;;;;;;;;;;;;;;;;;
X00043;1050;RU;;;;;;;;;3;27;;;;;;;;;;;;;;;;
X00044;10;DK;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00044;1040;DK;;;;;;;;;;1;;;-108;;;;;;;;;;;;;
X00044;1043;DK;;;;;;;;;;1;;;-108;;;;;;;;;;;;;
X00044;1300;DK;;;;;;;;;;;1;;;;;;;;;;;;;;;
X00044;1303;DK;;;;;;;;-54;;;1;;;;;;;;;;;;;;;
X00044;20;DK;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00044;3030;DK;32;-78;;;;;;;;;;;;;;;;;;;;;;;;
X00045;10;EE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00045;20;EE;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00045;3030;EE;-9;-12;;;;;;;;;;;;;;;;;;;;;;;;
X00046;3040;BY;;;;;;;-1;;;;;;;;;;;;;;;;;;;
X00046;3043;BY;;;;;;;-1;;;;;;;;;;;;;;;;;;;
X00047;10;LV;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00047;1000;LV;;;;;;;;;8772;9686;;;;;;;;;;;;;;;;
X00047;1010;LV;;;;;;;;7815;;;;;;;;;;;;;;;;;;
X00047;1020;NL;;;;;;;;7815;;;;;;;;;;;;;;;;;;
X00047;1030;LV;;;;;;;;957;914;178;;;;;;;;;;;;;;;;
X00047;1030;NL;718;;;;;;;;;;;;;;;;;;;;;;;;;
X00047;1040;LV;;;;;;;;;;662;-2036;;;;;;;;;;;;;;;
X00047;1040;NL;;;;-15;;15;16;;;14;;;;;;;;;;;;;;;;
X00047;1043;LV;;;;;;;;;;662;-2036;;;;;;;;;;;;;;;
X00047;1043;NL;;;;;;;16;;;14;;;;;;;;;;;;;;;;
X00047;1050;LV;;;;;;;;8772;9686;10526;;;;;;;;;;;;;;;;
X00047;1050;NL;4787;;;;;;;;;;;;;;;;;;;;;;;;;
X00047;20;LV;;;;;;;;;;;;;;0;;;;;;;;;;;;
X00047;3030;NL;718;707;;;;;;;;;;;;;;;;;;;;;;;;
